Name,Algorithm, Descending?, Runtime(s), n, SOL, OPT, SOL/OPT,KnownOptimalSOL,SOL/KOS, capacity, result_bins
TEST0055, next_fit, True,7.2e-05,64,8,7,1.142857,16,0.5,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)]， [(4， 2151)， (5， 2024)， (6， 1994)， (7， 1953)]， [(8， 1935)， (9， 1932)， (10， 1863)， (11， 1718)， (12， 1704)]， [(13， 1662)， (14， 1543)， (15， 1456)， (16， 1446)， (17， 1378)， (18， 1372)]， [(19， 1367)， (20， 1224)， (21， 1181)， (22， 1180)， (23， 1179)， (24， 1135)， (25， 1128)， (26， 1067)]， [(27， 1065)， (28， 1060)， (29， 1013)， (30， 955)， (31， 944)， (32， 943)， (33， 895)， (34， 894)， (35， 889)， (36， 884)]， [(37， 874)， (38， 853)， (39， 818)， (40， 729)， (41， 723)， (42， 711)， (43， 687)， (44， 653)， (45， 637)， (46， 632)， (47， 505)， (48， 495)， (49， 483)， (50， 456)， (51， 446)]， [(52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)， (61， 165)， (62， 46)， (63， 40)]]
TEST0055, next_fit, True,7.2e-05,64,8,7,1.142857,21,0.380952,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)]， [(4， 2151)， (5， 2024)， (6， 1994)， (7， 1953)]， [(8， 1935)， (9， 1932)， (10， 1863)， (11， 1718)， (12， 1704)]， [(13， 1662)， (14， 1543)， (15， 1456)， (16， 1446)， (17， 1378)， (18， 1372)]， [(19， 1367)， (20， 1224)， (21， 1181)， (22， 1180)， (23， 1179)， (24， 1135)， (25， 1128)， (26， 1067)]， [(27， 1065)， (28， 1060)， (29， 1013)， (30， 955)， (31， 944)， (32， 943)， (33， 895)， (34， 894)， (35， 889)， (36， 884)]， [(37， 874)， (38， 853)， (39， 818)， (40， 729)， (41， 723)， (42， 711)， (43， 687)， (44， 653)， (45， 637)， (46， 632)， (47， 505)， (48， 495)， (49， 483)， (50， 456)， (51， 446)]， [(52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)， (61， 165)， (62， 46)， (63， 40)]]
TEST0055, first_fit, True,0.00023700000000000001,64,7,7,1.0,16,0.4375,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)， (47， 505)， (62， 46)]， [(4， 2151)， (5， 2024)， (6， 1994)， (7， 1953)， (10， 1863)]， [(8， 1935)， (9， 1932)， (11， 1718)， (12， 1704)， (13， 1662)， (29， 1013)]， [(14， 1543)， (15， 1456)， (16， 1446)， (17， 1378)， (18， 1372)， (19， 1367)， (20， 1224)， (61， 165)， (63， 40)]， [(21， 1181)， (22， 1180)， (23， 1179)， (24， 1135)， (25， 1128)， (26， 1067)， (27， 1065)， (28， 1060)， (30， 955)]， [(31， 944)， (32， 943)， (33， 895)， (34， 894)， (35， 889)， (36， 884)， (37， 874)， (38， 853)， (39， 818)， (40， 729)， (41， 723)， (48， 495)]， [(42， 711)， (43， 687)， (44， 653)， (45， 637)， (46， 632)， (49， 483)， (50， 456)， (51， 446)， (52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)]]
TEST0055, first_fit, True,0.00023700000000000001,64,7,7,1.0,21,0.333333,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)， (47， 505)， (62， 46)]， [(4， 2151)， (5， 2024)， (6， 1994)， (7， 1953)， (10， 1863)]， [(8， 1935)， (9， 1932)， (11， 1718)， (12， 1704)， (13， 1662)， (29， 1013)]， [(14， 1543)， (15， 1456)， (16， 1446)， (17， 1378)， (18， 1372)， (19， 1367)， (20， 1224)， (61， 165)， (63， 40)]， [(21， 1181)， (22， 1180)， (23， 1179)， (24， 1135)， (25， 1128)， (26， 1067)， (27， 1065)， (28， 1060)， (30， 955)]， [(31， 944)， (32， 943)， (33， 895)， (34， 894)， (35， 889)， (36， 884)， (37， 874)， (38， 853)， (39， 818)， (40， 729)， (41， 723)， (48， 495)]， [(42， 711)， (43， 687)， (44， 653)， (45， 637)， (46， 632)， (49， 483)， (50， 456)， (51， 446)， (52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)]]
TEST0055, worst_fit, True,0.00132,64,7,7,1.0,16,0.4375,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)]， [(4， 2151)， (5， 2024)， (6， 1994)， (7， 1953)， (13， 1662)]， [(8， 1935)， (9， 1932)， (10， 1863)， (11， 1718)， (12， 1704)， (41， 723)]， [(14， 1543)， (15， 1456)， (16， 1446)， (17， 1378)， (18， 1372)， (19， 1367)， (20， 1224)]， [(21， 1181)， (22， 1180)， (23， 1179)， (24， 1135)， (25， 1128)， (26， 1067)， (27， 1065)， (28， 1060)， (39， 818)]， [(29， 1013)， (30， 955)， (31， 944)， (32， 943)， (33， 895)， (34， 894)， (35， 889)， (36， 884)， (37， 874)， (38， 853)， (40， 729)]， [(42， 711)， (43， 687)， (44， 653)， (45， 637)， (46， 632)， (47， 505)， (48， 495)， (49， 483)， (50， 456)， (51， 446)， (52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)， (61， 165)， (62， 46)， (63， 40)]]
TEST0055, worst_fit, True,0.00132,64,7,7,1.0,21,0.333333,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)]， [(4， 2151)， (5， 2024)， (6， 1994)， (7， 1953)， (13， 1662)]， [(8， 1935)， (9， 1932)， (10， 1863)， (11， 1718)， (12， 1704)， (41， 723)]， [(14， 1543)， (15， 1456)， (16， 1446)， (17， 1378)， (18， 1372)， (19， 1367)， (20， 1224)]， [(21， 1181)， (22， 1180)， (23， 1179)， (24， 1135)， (25， 1128)， (26， 1067)， (27， 1065)， (28， 1060)， (39， 818)]， [(29， 1013)， (30， 955)， (31， 944)， (32， 943)， (33， 895)， (34， 894)， (35， 889)， (36， 884)， (37， 874)， (38， 853)， (40， 729)]， [(42， 711)， (43， 687)， (44， 653)， (45， 637)， (46， 632)， (47， 505)， (48， 495)， (49， 483)， (50， 456)， (51， 446)， (52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)， (61， 165)， (62， 46)， (63， 40)]]
TEST0055, almost_worst_fit, True,0.001426,64,8,7,1.142857,16,0.5,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)]， [(4， 2151)， (6， 1994)， (7， 1953)， (8， 1935)， (9， 1932)]， [(5， 2024)， (11， 1718)， (12， 1704)， (13， 1662)， (14， 1543)， (22， 1180)]， [(10， 1863)， (16， 1446)， (17， 1378)， (18， 1372)， (19， 1367)， (20， 1224)， (21， 1181)]， [(15， 1456)， (24， 1135)， (25， 1128)， (26， 1067)， (27， 1065)， (28， 1060)， (29， 1013)， (30， 955)， (31， 944)]， [(23， 1179)， (33， 895)， (34， 894)， (35， 889)， (36， 884)， (37， 874)， (38， 853)， (39， 818)， (40， 729)， (41， 723)， (42， 711)]， [(32， 943)， (44， 653)， (45， 637)， (46， 632)， (47， 505)， (48， 495)， (49， 483)， (50， 456)， (51， 446)， (52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)， (61， 165)， (62， 46)， (63， 40)]， [(43， 687)]]
TEST0055, almost_worst_fit, True,0.001426,64,8,7,1.142857,21,0.380952,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)]， [(4， 2151)， (6， 1994)， (7， 1953)， (8， 1935)， (9， 1932)]， [(5， 2024)， (11， 1718)， (12， 1704)， (13， 1662)， (14， 1543)， (22， 1180)]， [(10， 1863)， (16， 1446)， (17， 1378)， (18， 1372)， (19， 1367)， (20， 1224)， (21， 1181)]， [(15， 1456)， (24， 1135)， (25， 1128)， (26， 1067)， (27， 1065)， (28， 1060)， (29， 1013)， (30， 955)， (31， 944)]， [(23， 1179)， (33， 895)， (34， 894)， (35， 889)， (36， 884)， (37， 874)， (38， 853)， (39， 818)， (40， 729)， (41， 723)， (42， 711)]， [(32， 943)， (44， 653)， (45， 637)， (46， 632)， (47， 505)， (48， 495)， (49， 483)， (50， 456)， (51， 446)， (52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)， (61， 165)， (62， 46)， (63， 40)]， [(43， 687)]]
TEST0055, best_fit, True,0.001024,64,7,7,1.0,16,0.4375,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)， (48， 495)]， [(4， 2151)， (5， 2024)， (6， 1994)， (7， 1953)， (10， 1863)]， [(8， 1935)， (9， 1932)， (11， 1718)， (12， 1704)， (13， 1662)， (29， 1013)]， [(14， 1543)， (15， 1456)， (16， 1446)， (17， 1378)， (18， 1372)， (19， 1367)， (20， 1224)， (61， 165)， (63， 40)]， [(21， 1181)， (22， 1180)， (23， 1179)， (24， 1135)， (25， 1128)， (26， 1067)， (27， 1065)， (28， 1060)， (30， 955)]， [(31， 944)， (32， 943)， (33， 895)， (34， 894)， (35， 889)， (36， 884)， (37， 874)， (38， 853)， (39， 818)， (40， 729)， (41， 723)， (47， 505)， (62， 46)]， [(42， 711)， (43， 687)， (44， 653)， (45， 637)， (46， 632)， (49， 483)， (50， 456)， (51， 446)， (52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)]]
TEST0055, best_fit, True,0.001024,64,7,7,1.0,21,0.333333,10000,[[(0， 2441)， (1， 2408)， (2， 2366)， (3， 2203)， (48， 495)]， [(4， 2151)， (5， 2024)， (6， 1994)， (7， 1953)， (10， 1863)]， [(8， 1935)， (9， 1932)， (11， 1718)， (12， 1704)， (13， 1662)， (29， 1013)]， [(14， 1543)， (15， 1456)， (16， 1446)， (17， 1378)， (18， 1372)， (19， 1367)， (20， 1224)， (61， 165)， (63， 40)]， [(21， 1181)， (22， 1180)， (23， 1179)， (24， 1135)， (25， 1128)， (26， 1067)， (27， 1065)， (28， 1060)， (30， 955)]， [(31， 944)， (32， 943)， (33， 895)， (34， 894)， (35， 889)， (36， 884)， (37， 874)， (38， 853)， (39， 818)， (40， 729)， (41， 723)， (47， 505)， (62， 46)]， [(42， 711)， (43， 687)， (44， 653)， (45， 637)， (46， 632)， (49， 483)， (50， 456)， (51， 446)， (52， 421)， (53， 415)， (54， 409)， (55， 397)， (56， 394)， (57， 391)， (58， 368)， (59， 350)， (60， 341)]]
